group,image1,image2,vehicle_id1,vehicle_id2,type1,type2,color1,color2,similarity
different,0118_c006_00088160_0.jpg,0653_c014_00069215_0.jpg,0118,0653,8,1,1,10,0.5552
different,0118_c010_00088415_0.jpg,0489_c008_00084945_0.jpg,0118,0489,8,1,1,4,0.7432
different,0118_c015_00065430_0.jpg,0727_c011_00085560_0.jpg,0118,0727,8,1,1,10,0.6862
different,0118_c009_00089295_0.jpg,0247_c019_00083350_0.jpg,0118,0247,8,1,1,9,0.7006
different,0118_c013_00067000_0.jpg,0774_c009_00056845_0.jpg,0118,0774,8,1,1,10,0.7300
different,0118_c015_00065430_0.jpg,0588_c012_00061015_0.jpg,0118,0588,8,2,1,10,0.7014
different,0118_c017_00066220_0.jpg,0009_c015_00069855_0.jpg,0118,0009,8,2,1,3,0.7224
different,0118_c014_00065400_0.jpg,0772_c003_00006555_0.jpg,0118,0772,8,1,1,10,0.5812
different,0118_c012_00066915_0.jpg,0365_c003_00086330_0.jpg,0118,0365,8,2,1,7,0.6775
different,0118_c011_00088220_0.jpg,0576_c013_00063005_0.jpg,0118,0576,8,2,1,10,0.5639
different,0118_c009_00089295_0.jpg,0179_c014_00026600_0.jpg,0118,0179,8,1,1,5,0.6442
different,0118_c005_00089825_1.jpg,0240_c014_00047430_0.jpg,0118,0240,8,2,1,8,0.7768
different,0118_c009_00089275_0.jpg,0660_c017_00031720_0.jpg,0118,0660,8,1,1,10,0.6142
different,0118_c012_00066890_0.jpg,0298_c018_00046515_0.jpg,0118,0298,8,3,1,7,0.7055
different,0118_c006_00088190_1.jpg,0612_c010_00087940_0.jpg,0118,0612,8,2,1,10,0.5092
different,0118_c002_00086275_0.jpg,0427_c005_00007295_0.jpg,0118,0427,8,2,1,4,0.7485
different,0118_c002_00086315_0.jpg,0582_c019_00024010_0.jpg,0118,0582,8,2,1,10,0.7134
different,0118_c012_00066900_0.jpg,0096_c007_00030640_0.jpg,0118,0096,8,6,1,3,0.7077
different,0118_c019_00066010_0.jpg,0761_c012_00088550_0.jpg,0118,0761,8,1,1,10,0.8099
different,0118_c009_00089290_0.jpg,0416_c014_00022415_0.jpg,0118,0416,8,2,1,4,0.6801
different,0118_c009_00089280_0.jpg,0030_c007_00054870_1.jpg,0118,0030,8,1,1,5,0.6062
different,0118_c004_00089055_0.jpg,0494_c010_00022030_0.jpg,0118,0494,8,1,1,4,0.7100
different,0118_c015_00065415_0.jpg,0196_c011_00078460_0.jpg,0118,0196,8,9,1,9,0.7292
different,0118_c010_00088430_0.jpg,0106_c015_00029710_0.jpg,0118,0106,8,6,1,3,0.7683
different,0118_c004_00089040_0.jpg,0288_c008_00028545_0.jpg,0118,0288,8,4,1,7,0.5710
different,0118_c010_00088410_0.jpg,0014_c012_00040745_0.jpg,0118,0014,8,1,1,5,0.7390
different,0118_c011_00088195_1.jpg,0598_c015_00067660_0.jpg,0118,0598,8,2,1,10,0.5281
different,0118_c008_00089340_0.jpg,0373_c011_00076585_0.jpg,0118,0373,8,2,1,7,0.6718
different,0118_c003_00089070_0.jpg,0188_c009_00055275_0.jpg,0118,0188,8,1,1,5,0.6796
different,0118_c001_00068815_0.jpg,0322_c019_00038325_0.jpg,0118,0322,8,1,1,7,0.6232
different,0118_c002_00086285_0.jpg,0231_c012_00036285_0.jpg,0118,0231,8,1,1,8,0.6337
different,0118_c004_00089025_0.jpg,0101_c016_00047300_0.jpg,0118,0101,8,6,1,3,0.7093
different,0118_c014_00065405_0.jpg,0461_c017_00016320_0.jpg,0118,0461,8,1,1,10,0.7930
different,0118_c014_00065400_0.jpg,0677_c009_00042140_0.jpg,0118,0677,8,1,1,10,0.6357
different,0118_c008_00089335_0.jpg,0197_c012_00024865_0.jpg,0118,0197,8,4,1,5,0.8614
different,0118_c007_00089910_0.jpg,0318_c010_00005585_0.jpg,0118,0318,8,1,1,7,0.6347
different,0118_c012_00066880_0.jpg,0420_c003_00063645_0.jpg,0118,0420,8,2,1,4,0.6713
different,0118_c009_00089295_0.jpg,0065_c009_00060010_0.jpg,0118,0065,8,7,1,3,0.6138
different,0118_c009_00089280_0.jpg,0593_c015_00042700_0.jpg,0118,0593,8,2,1,10,0.4591
different,0118_c015_00065440_0.jpg,0177_c001_00072025_0.jpg,0118,0177,8,1,1,5,0.6466
different,0118_c006_00088190_1.jpg,0380_c001_00064495_0.jpg,0118,0380,8,2,1,7,0.5566
different,0118_c009_00089290_0.jpg,0771_c005_00071200_0.jpg,0118,0771,8,1,1,10,0.7319
different,0118_c002_00086295_0.jpg,0326_c004_00087065_0.jpg,0118,0326,8,1,1,7,0.6239
different,0118_c016_00065235_0.jpg,0659_c003_00074440_0.jpg,0118,0659,8,1,1,10,0.7331
different,0118_c009_00089295_0.jpg,0027_c019_00012020_0.jpg,0118,0027,8,1,1,5,0.6560
different,0118_c006_00088220_1.jpg,0476_c017_00011335_0.jpg,0118,0476,8,1,1,10,0.5023
different,0118_c013_00066995_0.jpg,0089_c007_00058965_0.jpg,0118,0089,8,6,1,3,0.9088
different,0118_c011_00088190_1.jpg,0180_c006_00062365_1.jpg,0118,0180,8,1,1,5,0.7381
different,0118_c014_00065400_0.jpg,0654_c002_00020040_0.jpg,0118,0654,8,1,1,10,0.6340
different,0118_c016_00065240_0.jpg,0102_c001_00008225_0.jpg,0118,0102,8,6,1,3,0.7090
different,0118_c011_00088240_0.jpg,0005_c009_00077865_0.jpg,0118,0005,8,4,1,2,0.7753
different,0118_c012_00066860_0.jpg,0482_c010_00053000_0.jpg,0118,0482,8,1,1,4,0.7667
different,0118_c012_00066880_0.jpg,0192_c004_00031665_0.jpg,0118,0192,8,2,1,5,0.8487
different,0118_c014_00065420_0.jpg,0663_c010_00038465_0.jpg,0118,0663,8,1,1,10,0.5878
different,0118_c001_00068830_0.jpg,0306_c008_00080895_0.jpg,0118,0306,8,4,1,7,0.5695
different,0118_c015_00065440_0.jpg,0687_c004_00019905_0.jpg,0118,0687,8,1,1,10,0.8019
different,0118_c011_00088240_0.jpg,0569_c017_00086975_0.jpg,0118,0569,8,1,1,4,0.4750
different,0118_c015_00065440_0.jpg,0775_c008_00071750_0.jpg,0118,0775,8,1,1,10,0.7932
different,0118_c009_00089270_0.jpg,0630_c004_00036805_0.jpg,0118,0630,8,1,1,10,0.6824
different,0118_c012_00066860_0.jpg,0541_c011_00051875_0.jpg,0118,0541,8,1,1,4,0.6307
different,0118_c010_00088430_0.jpg,0332_c013_00012975_0.jpg,0118,0332,8,1,1,7,0.6706
different,0118_c011_00088190_1.jpg,0237_c015_00065500_0.jpg,0118,0237,8,1,1,8,0.5813
different,0118_c011_00088230_1.jpg,0421_c016_00060540_0.jpg,0118,0421,8,2,1,4,0.5056
different,0118_c006_00088160_0.jpg,0625_c006_00009540_1.jpg,0118,0625,8,1,1,10,0.5726
different,0118_c012_00066880_0.jpg,0035_c004_00001870_0.jpg,0118,0035,8,1,1,5,0.8229
different,0118_c003_00089050_0.jpg,0467_c016_00011515_0.jpg,0118,0467,8,1,1,10,0.6799
different,0118_c007_00089885_0.jpg,0294_c007_00061830_0.jpg,0118,0294,8,4,1,7,0.6671
different,0118_c016_00065250_0.jpg,0622_c015_00065815_0.jpg,0118,0622,8,1,1,10,0.8084
different,0118_c017_00066255_0.jpg,0300_c001_00080720_0.jpg,0118,0300,8,4,1,7,0.6284
different,0118_c017_00066220_0.jpg,0310_c002_00014085_0.jpg,0118,0310,8,1,1,7,0.5169
different,0118_c010_00088415_0.jpg,0717_c002_00054395_0.jpg,0118,0717,8,1,1,10,0.7278
different,0118_c019_00066025_0.jpg,0586_c012_00068540_0.jpg,0118,0586,8,2,1,10,0.6185
different,0118_c007_00089900_0.jpg,0485_c003_00050620_1.jpg,0118,0485,8,1,1,4,0.6113
different,0118_c017_00066230_0.jpg,0105_c016_00069685_0.jpg,0118,0105,8,6,1,3,0.7991
different,0118_c003_00089050_0.jpg,0652_c003_00063220_0.jpg,0118,0652,8,1,1,10,0.7453
different,0118_c019_00066005_0.jpg,0662_c009_00005040_0.jpg,0118,0662,8,1,1,10,0.7324
different,0118_c015_00065415_0.jpg,0086_c017_00080745_0.jpg,0118,0086,8,6,1,4,0.6205
different,0118_c001_00068805_0.jpg,0721_c004_00062425_0.jpg,0118,0721,8,1,1,10,0.4802
different,0118_c019_00066010_0.jpg,0371_c014_00063105_0.jpg,0118,0371,8,2,1,7,0.8125
different,0118_c002_00086285_0.jpg,0634_c010_00055825_0.jpg,0118,0634,8,1,1,10,0.5543
different,0118_c012_00066890_0.jpg,0668_c002_00006920_0.jpg,0118,0668,8,1,1,10,0.5995
different,0118_c016_00065230_0.jpg,0388_c008_00071180_0.jpg,0118,0388,8,2,1,7,0.6124
different,0118_c012_00066900_0.jpg,0417_c003_00088750_0.jpg,0118,0417,8,2,1,4,0.6435
different,0118_c002_00086285_0.jpg,0602_c019_00033730_0.jpg,0118,0602,8,2,1,10,0.7080
different,0118_c010_00088425_0.jpg,0597_c003_00003355_0.jpg,0118,0597,8,2,1,10,0.6713
different,0118_c009_00089280_0.jpg,0584_c015_00061915_0.jpg,0118,0584,8,2,1,10,0.6538
different,0118_c016_00065235_0.jpg,0606_c014_00087210_0.jpg,0118,0606,8,2,1,10,0.7540
different,0118_c006_00088160_0.jpg,0642_c014_00020275_0.jpg,0118,0642,8,1,1,10,0.5901
different,0118_c005_00089855_0.jpg,0319_c010_00085845_0.jpg,0118,0319,8,1,1,7,0.5683
different,0118_c005_00089825_1.jpg,0543_c002_00001460_1.jpg,0118,0543,8,1,1,4,0.7127
different,0118_c012_00066900_0.jpg,0657_c016_00015625_0.jpg,0118,0657,8,1,1,10,0.6192
different,0118_c016_00065255_0.jpg,0006_c015_00024715_0.jpg,0118,0006,8,2,1,2,0.7554
different,0118_c004_00089005_0.jpg,0623_c018_00080035_0.jpg,0118,0623,8,1,1,10,0.6306
different,0118_c008_00089340_0.jpg,0357_c014_00069265_0.jpg,0118,0357,8,1,1,7,0.5894
different,0118_c005_00089800_1.jpg,0219_c017_00027105_0.jpg,0118,0219,8,4,1,5,0.8318
different,0118_c004_00089015_0.jpg,0066_c014_00056820_0.jpg,0118,0066,8,7,1,3,0.6847
different,0118_c013_00067005_0.jpg,0063_c013_00009405_0.jpg,0118,0063,8,4,1,4,0.7005
different,0118_c002_00086285_0.jpg,0042_c013_00083435_0.jpg,0118,0042,8,1,1,6,0.8357
different,0118_c009_00089285_0.jpg,0753_c008_00047700_0.jpg,0118,0753,8,1,1,10,0.6913
different,0118_c014_00065420_0.jpg,0218_c005_00067755_0.jpg,0118,0218,8,4,1,5,0.7337
different,0118_c012_00066890_0.jpg,0480_c014_00018600_0.jpg,0118,0480,8,1,1,10,0.6245
different,0118_c006_00088130_0.jpg,0216_c016_00089720_0.jpg,0118,0216,8,4,1,5,0.8349
different,0118_c004_00089040_0.jpg,0368_c008_00065750_0.jpg,0118,0368,8,2,1,7,0.8228
different,0118_c006_00088130_0.jpg,0113_c019_00081895_0.jpg,0118,0113,8,6,1,3,0.6634
different,0118_c009_00089290_0.jpg,0446_c016_00033570_0.jpg,0118,0446,8,3,1,4,0.6799
