vehicle_id,view1,view2,similarity
0065,front,front,0.9974
0065,front,front,0.9054
0065,front,front,0.9013
0066,front,left,0.9292
0066,front,left,0.9644
0066,left,left,0.9488
0096,front,front,0.8906
0102,front,front,0.9909
0122,front,front,0.9910
0122,front,front,0.9926
0122,front,front,0.9962
0129,front,left,0.9579
0134,right,front,0.9648
0134,right,front,0.9083
0134,right,left,0.9006
0134,right,front,0.9035
0134,right,rear,0.9697
0134,front,front,0.9582
0134,front,left,0.9362
0134,front,front,0.9455
0134,front,rear,0.9282
0134,front,left,0.8996
0134,front,front,0.8834
0134,front,rear,0.8604
0134,left,front,0.9295
0134,left,rear,0.8800
0134,front,rear,0.8931
0135,front,rear,0.9508
0135,front,rear,0.9570
0135,front,front,0.9509
0135,front,left,0.9329
0135,rear,rear,0.9981
0135,rear,front,0.9529
0135,rear,left,0.9455
0135,rear,front,0.9567
0135,rear,left,0.9412
0135,front,left,0.9496
0142,front,front,0.9957
0151,left,left,0.9966
0166,left,front,0.9371
0166,left,left,0.9801
0166,front,left,0.9064
0180,front,front,0.9873
0183,front,front,0.9994
0192,front,front,0.9927
0231,right,left,0.9210
0273,front,right,0.9826
0273,front,left,0.9620
0273,front,left,0.9600
0273,right,left,0.9825
0273,right,left,0.9758
0273,left,left,0.9941
0281,front,front,0.9749
0281,front,front,0.9829
0281,front,right,0.9721
0281,front,front,0.9853
0281,front,front,0.9883
0281,front,right,0.9329
0281,front,front,0.9722
0281,front,right,0.9449
0281,front,front,0.9801
0281,right,front,0.9791
0315,front,right,0.9801
0361,front,front,0.9549
0361,front,front,0.9199
0361,front,front,0.9568
0365,front,front,0.9200
0365,front,front,0.9042
0365,front,left,0.8894
0365,front,front,0.9103
0365,front,left,0.9295
0365,front,left,0.9291
0368,front,front,0.9336
0368,front,front,0.8495
0368,front,front,0.8976
0368,front,front,0.8954
0368,front,front,0.9021
0368,front,front,0.9583
0385,right,front,0.9358
0385,right,left,0.8908
0385,front,left,0.8553
0391,rear,front,0.9838
0392,front,front,0.9987
0398,left,left,0.9567
0402,front,front,0.9895
0402,front,front,0.9964
0402,front,front,0.9968
0402,front,front,0.9845
0402,front,front,0.9893
0402,front,left,0.9944
0402,front,front,0.9621
0402,front,front,0.9726
0402,front,front,0.9901
0402,front,front,0.9917
0402,front,front,0.9965
0402,front,front,0.9813
0402,front,left,0.9870
0402,front,front,0.9791
0402,front,front,0.9884
0402,front,front,0.9992
0402,front,front,0.9870
0402,front,front,0.9951
0402,front,left,0.9938
0402,front,front,0.9599
0402,front,front,0.9723
0402,front,front,0.9894
0402,front,front,0.9941
0402,front,left,0.9938
0402,front,front,0.9666
0402,front,front,0.9778
0402,front,front,0.9782
0402,front,left,0.9825
0402,front,front,0.9808
0402,front,front,0.9927
0402,front,left,0.9829
0402,front,front,0.9401
0402,front,front,0.9604
0402,left,front,0.9632
0402,left,front,0.9683
0402,front,front,0.9911
0404,left,left,0.9846
0405,left,rear,0.9896
0405,left,left,0.9784
0405,left,right,0.9760
0405,left,front,0.9725
0405,left,front,0.9926
0405,left,front,0.9893
0405,rear,left,0.9893
0405,rear,right,0.9895
0405,rear,front,0.9893
0405,rear,front,0.9921
0405,rear,front,0.9702
0405,left,right,0.9996
0405,left,front,0.9987
0405,left,front,0.9834
0405,left,front,0.9647
0405,right,front,0.9996
0405,right,front,0.9827
0405,right,front,0.9611
0405,front,front,0.9811
0405,front,front,0.9560
0405,front,front,0.9887
0416,front,front,0.9350
0416,front,left,0.9243
0416,front,front,0.9255
0416,front,front,0.9235
0416,front,front,0.9376
0416,front,front,0.9358
0416,front,front,0.8927
0416,front,left,0.9322
0416,front,front,0.9670
0416,front,front,0.9390
0416,front,front,0.9403
0416,front,front,0.9468
0416,front,front,0.9460
0416,left,front,0.9322
0416,left,front,0.9039
0416,left,front,0.9078
0416,left,front,0.9146
0416,left,front,0.8934
0416,front,front,0.9617
0416,front,front,0.9586
0416,front,front,0.9623
0416,front,front,0.9675
0416,front,front,0.9952
0416,front,front,0.9949
0416,front,front,0.9703
0416,front,front,0.9954
0416,front,front,0.9588
0416,front,front,0.9617
0418,front,front,0.9865
0418,front,front,0.9838
0418,front,front,0.9912
0420,front,front,0.9638
0420,front,front,0.9567
0420,front,front,0.9604
0420,front,front,0.9469
0420,front,front,0.9226
0420,front,front,0.8923
0420,front,front,0.9093
0420,front,front,0.9877
0420,front,front,0.9849
0420,front,front,0.9753
0420,front,left,0.9422
0420,front,front,0.9954
0420,front,front,0.9944
0420,front,front,0.9709
0420,front,front,0.8568
0420,front,front,0.8166
0420,front,front,0.8571
0420,front,front,0.9638
0420,front,front,0.9602
0420,front,front,0.9362
0420,front,left,0.9607
0420,front,front,0.9943
0420,front,front,0.9760
0420,front,front,0.8539
0420,front,front,0.8185
0420,front,front,0.8623
0420,front,front,0.9580
0420,front,front,0.9527
0420,front,front,0.9323
0420,front,left,0.9534
0420,front,front,0.9658
0420,front,front,0.8602
0420,front,front,0.8069
0420,front,front,0.8433
0420,front,front,0.9617
0420,front,front,0.9509
0420,front,front,0.9251
0420,front,left,0.9499
0420,front,front,0.8590
0420,front,front,0.8324
0420,front,front,0.8805
0420,front,front,0.9516
0420,front,front,0.9498
0420,front,front,0.9407
0420,front,left,0.9730
0420,front,front,0.9663
0420,front,front,0.9269
0420,front,front,0.9345
0420,front,front,0.9352
0420,front,front,0.9385
0420,front,left,0.8534
0420,front,front,0.9727
0420,front,front,0.8981
0420,front,front,0.9125
0420,front,front,0.9261
0420,front,left,0.8160
0420,front,front,0.9158
0420,front,front,0.9294
0420,front,front,0.9392
0420,front,left,0.8481
0420,front,front,0.9942
0420,front,front,0.9824
0420,front,left,0.9360
0420,front,front,0.9929
0420,front,left,0.9393
0420,front,left,0.9291
0421,front,right,0.9184
0421,front,right,0.9296
0421,front,left,0.8989
0421,front,front,0.8966
0421,front,front,0.8840
0421,front,front,0.8882
0421,front,front,0.9105
0421,front,left,0.8955
0421,front,left,0.9010
0421,right,right,0.9842
0421,right,left,0.9357
0421,right,front,0.9528
0421,right,front,0.9332
0421,right,front,0.9424
0421,right,front,0.9184
0421,right,left,0.8652
0421,right,left,0.8691
0421,right,left,0.9536
0421,right,front,0.9536
0421,right,front,0.9412
0421,right,front,0.9459
0421,right,front,0.9375
0421,right,left,0.8960
0421,right,left,0.9061
0421,left,front,0.9549
0421,left,front,0.9530
0421,left,front,0.9581
0421,left,front,0.9753
0421,left,left,0.9399
0421,left,left,0.9493
0421,front,front,0.9920
0421,front,front,0.9948
0421,front,front,0.9619
0421,front,left,0.9034
0421,front,left,0.9027
0421,front,front,0.9937
0421,front,front,0.9666
0421,front,left,0.9171
0421,front,left,0.9158
0421,front,front,0.9607
0421,front,left,0.9081
0421,front,left,0.9084
0421,front,left,0.9556
0421,front,left,0.9589
0421,left,left,0.9960
0427,front,front,0.9907
0427,front,front,0.9623
0427,front,front,0.9743
0427,front,front,0.9795
0427,front,front,0.9842
0427,front,front,0.9948
0446,front,front,0.9931
0446,front,right,0.9219
0446,front,right,0.9109
0446,front,right,0.8928
0446,front,front,0.9442
0446,front,left,0.9411
0446,front,front,0.9372
0446,front,front,0.9451
0446,front,front,0.9531
0446,front,front,0.9480
0446,front,front,0.9460
0446,front,left,0.8933
0446,front,left,0.8962
0446,front,left,0.8799
0446,front,left,0.8565
0446,front,left,0.8787
0446,front,left,0.8692
0446,front,front,0.9195
0446,front,front,0.9215
0446,front,front,0.9240
0446,front,front,0.9212
0446,front,left,0.9554
0446,front,left,0.9538
0446,front,left,0.9528
0446,front,left,0.9352
0446,front,left,0.9379
0446,front,left,0.8996
0446,front,left,0.8787
0446,front,left,0.8687
0446,front,left,0.8462
0446,front,left,0.8513
0446,front,left,0.8485
0446,front,right,0.9092
0446,front,right,0.9086
0446,front,right,0.8931
0446,front,front,0.9217
0446,front,left,0.9288
0446,front,front,0.9122
0446,front,front,0.9244
0446,front,front,0.9376
0446,front,front,0.9251
0446,front,front,0.9341
0446,front,left,0.8836
0446,front,left,0.8843
0446,front,left,0.8669
0446,front,left,0.8376
0446,front,left,0.8614
0446,front,left,0.8548
0446,front,front,0.8985
0446,front,front,0.9039
0446,front,front,0.9018
0446,front,front,0.8962
0446,front,left,0.9462
0446,front,left,0.9438
0446,front,left,0.9398
0446,front,left,0.9148
0446,front,left,0.9182
0446,front,left,0.8759
0446,front,left,0.8450
0446,front,left,0.8383
0446,front,left,0.8147
0446,front,left,0.8230
0446,front,left,0.8158
0446,right,right,0.9806
0446,right,right,0.9489
0446,right,front,0.9380
0446,right,left,0.9577
0446,right,front,0.9610
0446,right,front,0.9438
0446,right,front,0.9543
0446,right,front,0.8979
0446,right,front,0.8919
0446,right,left,0.9130
0446,right,left,0.9002
0446,right,left,0.9317
0446,right,left,0.9364
0446,right,left,0.9467
0446,right,left,0.9383
0446,right,front,0.9261
0446,right,front,0.9151
0446,right,front,0.9244
0446,right,front,0.9191
0446,right,left,0.9559
0446,right,left,0.9675
0446,right,left,0.9584
0446,right,left,0.9606
0446,right,left,0.9546
0446,right,left,0.9074
0446,right,left,0.9022
0446,right,left,0.8874
0446,right,left,0.8827
0446,right,left,0.8678
0446,right,left,0.8748
0446,right,right,0.9851
0446,right,front,0.9047
0446,right,left,0.9551
0446,right,front,0.9279
0446,right,front,0.9119
0446,right,front,0.9278
0446,right,front,0.8557
0446,right,front,0.8654
0446,right,left,0.9029
0446,right,left,0.8915
0446,right,left,0.9054
0446,right,left,0.9071
0446,right,left,0.9305
0446,right,left,0.9273
0446,right,front,0.8759
0446,right,front,0.8724
0446,right,front,0.8732
0446,right,front,0.8648
0446,right,left,0.9368
0446,right,left,0.9457
0446,right,left,0.9320
0446,right,left,0.9328
0446,right,left,0.9272
0446,right,left,0.8777
0446,right,left,0.8720
0446,right,left,0.8573
0446,right,left,0.8675
0446,right,left,0.8466
0446,right,left,0.8569
0446,right,front,0.8970
0446,right,left,0.9469
0446,right,front,0.9057
0446,right,front,0.8998
0446,right,front,0.9143
0446,right,front,0.8409
0446,right,front,0.8651
0446,right,left,0.9124
0446,right,left,0.9049
0446,right,left,0.8900
0446,right,left,0.8846
0446,right,left,0.9204
0446,right,left,0.9174
0446,right,front,0.8530
0446,right,front,0.8553
0446,right,front,0.8481
0446,right,front,0.8408
0446,right,left,0.9211
0446,right,left,0.9227
0446,right,left,0.9086
0446,right,left,0.9070
0446,right,left,0.9006
0446,right,left,0.8824
0446,right,left,0.8751
0446,right,left,0.8699
0446,right,left,0.8823
0446,right,left,0.8623
0446,right,left,0.8701
0446,front,left,0.9312
0446,front,front,0.9849
0446,front,front,0.9924
0446,front,front,0.9870
0446,front,front,0.9621
0446,front,front,0.9564
0446,front,left,0.9183
0446,front,left,0.9214
0446,front,left,0.9090
0446,front,left,0.9030
0446,front,left,0.9298
0446,front,left,0.9267
0446,front,front,0.9684
0446,front,front,0.9665
0446,front,front,0.9698
0446,front,front,0.9596
0446,front,left,0.9625
0446,front,left,0.9620
0446,front,left,0.9680
0446,front,left,0.9631
0446,front,left,0.9629
0446,front,left,0.9517
0446,front,left,0.9448
0446,front,left,0.9405
0446,front,left,0.9172
0446,front,left,0.9299
0446,front,left,0.9274
0446,left,front,0.9466
0446,left,front,0.9411
0446,left,front,0.9558
0446,left,front,0.9159
0446,left,front,0.9204
0446,left,left,0.9436
0446,left,left,0.9355
0446,left,left,0.9155
0446,left,left,0.9079
0446,left,left,0.9410
0446,left,left,0.9273
0446,left,front,0.9178
0446,left,front,0.9152
0446,left,front,0.9147
0446,left,front,0.9096
0446,left,left,0.9610
0446,left,left,0.9608
0446,left,left,0.9573
0446,left,left,0.9577
0446,left,left,0.9557
0446,left,left,0.9259
0446,left,left,0.9251
0446,left,left,0.9162
0446,left,left,0.9178
0446,left,left,0.9041
0446,left,left,0.9095
0446,front,front,0.9875
0446,front,front,0.9853
0446,front,front,0.9513
0446,front,front,0.9397
0446,front,left,0.9203
0446,front,left,0.9210
0446,front,left,0.9264
0446,front,left,0.9316
0446,front,left,0.9540
0446,front,left,0.9511
0446,front,front,0.9641
0446,front,front,0.9591
0446,front,front,0.9664
0446,front,front,0.9555
0446,front,left,0.9717
0446,front,left,0.9754
0446,front,left,0.9776
0446,front,left,0.9801
0446,front,left,0.9792
0446,front,left,0.9475
0446,front,left,0.9475
0446,front,left,0.9375
0446,front,left,0.9282
0446,front,left,0.9249
0446,front,left,0.9302
0446,front,front,0.9956
0446,front,front,0.9670
0446,front,front,0.9589
0446,front,left,0.9169
0446,front,left,0.9188
0446,front,left,0.9070
0446,front,left,0.9042
0446,front,left,0.9367
0446,front,left,0.9361
0446,front,front,0.9729
0446,front,front,0.9740
0446,front,front,0.9726
0446,front,front,0.9564
0446,front,left,0.9716
0446,front,left,0.9716
0446,front,left,0.9786
0446,front,left,0.9762
0446,front,left,0.9787
0446,front,left,0.9608
0446,front,left,0.9574
0446,front,left,0.9491
0446,front,left,0.9338
0446,front,left,0.9448
0446,front,left,0.9420
0446,front,front,0.9563
0446,front,front,0.9509
0446,front,left,0.9318
0446,front,left,0.9292
0446,front,left,0.9239
0446,front,left,0.9186
0446,front,left,0.9488
0446,front,left,0.9460
0446,front,front,0.9691
0446,front,front,0.9690
0446,front,front,0.9703
0446,front,front,0.9570
0446,front,left,0.9771
0446,front,left,0.9770
0446,front,left,0.9826
0446,front,left,0.9803
0446,front,left,0.9805
0446,front,left,0.9630
0446,front,left,0.9555
0446,front,left,0.9476
0446,front,left,0.9331
0446,front,left,0.9441
0446,front,left,0.9396
0446,front,front,0.9880
0446,front,left,0.8704
0446,front,left,0.8772
0446,front,left,0.8477
0446,front,left,0.8343
0446,front,left,0.8641
0446,front,left,0.8557
0446,front,front,0.9686
0446,front,front,0.9709
0446,front,front,0.9614
0446,front,front,0.9433
0446,front,left,0.9475
0446,front,left,0.9469
0446,front,left,0.9569
0446,front,left,0.9420
0446,front,left,0.9515
0446,front,left,0.9265
0446,front,left,0.9209
0446,front,left,0.9147
0446,front,left,0.8835
0446,front,left,0.8957
0446,front,left,0.8873
0446,front,left,0.8879
