rank,vehicle_id,query_views_fused,query_img,gallery_imgs,similarity
1,0065,1,0065_c001_00064630_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9984
2,0065,2,0065_c002_00063040_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9965
3,0065,3,0065_c003_00060250_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9982
4,0065,4,0065_c004_00060105_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9989
5,0065,5,0065_c006_00061310_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9991
6,0065,6,0065_c008_00059930_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9982
7,0065,7,0065_c009_00059990_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9980
8,0065,8,0065_c010_00061240_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9978
9,0065,9,0065_c011_00061315_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9985
10,0065,10,0065_c012_00065115_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9985
11,0065,11,0065_c013_00064960_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9983
12,0065,12,0065_c014_00067520_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9983
13,0065,13,0065_c015_00067315_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9984
14,0065,14,0065_c016_00068390_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9984
15,0065,15,0065_c017_00065800_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9985
16,0065,16,0065_c019_00066085_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9982
1,0066,1,0066_c001_00059990_0.jpg,0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg,0.9887
2,0066,2,0066_c012_00059110_0.jpg,0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg,0.9959
3,0066,3,0066_c013_00059200_0.jpg,0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg,0.9914
4,0066,4,0066_c014_00056825_0.jpg,0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg,0.9888
5,0066,5,0066_c015_00057085_0.jpg,0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg,0.9908
6,0066,6,0066_c016_00055450_0.jpg,0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg,0.9893
7,0066,7,0066_c017_00058360_0.jpg,0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg,0.9921
8,0066,8,0066_c019_00058085_0.jpg,0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg,0.9904
1,0086,1,0086_c001_00079320_0.jpg,0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg,0.9985
2,0086,2,0086_c012_00080055_0.jpg,0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg,0.9953
3,0086,3,0086_c013_00079895_0.jpg,0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg,0.9927
4,0086,4,0086_c014_00081915_0.jpg,0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg,0.9937
5,0086,5,0086_c015_00081770_0.jpg,0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg,0.9909
6,0086,6,0086_c016_00082225_0.jpg,0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg,0.9908
7,0086,7,0086_c017_00080725_0.jpg,0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg,0.9916
