rank,vehicle_id,views_fused,similarity
1,0002,1,0.9303
2,0002,2,0.9310
3,0002,3,0.9325
4,0002,4,0.9340
5,0002,5,0.9350
6,0002,6,0.9389
7,0002,7,0.9427
8,0002,8,0.9495
9,0002,9,0.9530
10,0002,10,0.9659
11,0002,11,0.9671
12,0002,12,0.9700
13,0002,13,0.9766
14,0002,14,0.9772
15,0002,15,0.9773
16,0002,16,0.9815
17,0002,17,0.9845
18,0002,18,0.9870
19,0002,19,0.9876
20,0002,20,0.9900
21,0002,21,0.9918
22,0002,22,0.9924
23,0002,23,0.9926
24,0002,24,0.9939
25,0002,25,0.9950
26,0002,26,0.9955
27,0002,27,0.9963
28,0002,28,0.9965
29,0002,29,0.9969
30,0002,30,0.9970
31,0002,31,0.9971
32,0002,32,0.9972
33,0002,33,0.9974
34,0002,34,0.9974
35,0002,35,0.9976
36,0002,36,0.9976
37,0002,37,0.9976
38,0002,38,0.9979
39,0002,39,0.9979
40,0002,40,0.9978
41,0002,41,0.9978
42,0002,42,0.9979
43,0002,43,0.9980
44,0002,44,0.9980
45,0002,45,0.9980
46,0002,46,0.9980
47,0002,47,0.9982
48,0002,48,0.9982
49,0002,49,0.9982
50,0002,50,0.9983
51,0002,51,0.9984
52,0002,52,0.9984
53,0002,53,0.9985
54,0002,54,0.9985
55,0002,55,0.9986
56,0002,56,0.9986
57,0002,57,0.9986
58,0002,58,0.9987
59,0002,59,0.9987
1,0005,1,0.9519
2,0005,2,0.9650
3,0005,3,0.9648
4,0005,4,0.9656
5,0005,5,0.9655
6,0005,6,0.9645
7,0005,7,0.9669
8,0005,8,0.9800
9,0005,9,0.9876
10,0005,10,0.9896
11,0005,11,0.9883
12,0005,12,0.9873
13,0005,13,0.9911
14,0005,14,0.9903
15,0005,15,0.9928
16,0005,16,0.9923
17,0005,17,0.9933
18,0005,18,0.9940
19,0005,19,0.9944
20,0005,20,0.9948
21,0005,21,0.9947
22,0005,22,0.9945
23,0005,23,0.9955
24,0005,24,0.9962
25,0005,25,0.9970
26,0005,26,0.9971
27,0005,27,0.9974
28,0005,28,0.9973
29,0005,29,0.9971
30,0005,30,0.9971
31,0005,31,0.9976
32,0005,32,0.9974
33,0005,33,0.9975
34,0005,34,0.9976
35,0005,35,0.9978
36,0005,36,0.9980
37,0005,37,0.9983
38,0005,38,0.9986
39,0005,39,0.9986
40,0005,40,0.9985
41,0005,41,0.9987
42,0005,42,0.9988
43,0005,43,0.9988
44,0005,44,0.9988
45,0005,45,0.9989
46,0005,46,0.9990
47,0005,47,0.9990
48,0005,48,0.9990
49,0005,49,0.9991
50,0005,50,0.9991
51,0005,51,0.9991
52,0005,52,0.9991
53,0005,53,0.9991
54,0005,54,0.9991
55,0005,55,0.9991
56,0005,56,0.9991
57,0005,57,0.9992
58,0005,58,0.9992
1,0006,1,0.9709
2,0006,2,0.9906
3,0006,3,0.9889
4,0006,4,0.9902
5,0006,5,0.9909
6,0006,6,0.9913
7,0006,7,0.9907
8,0006,8,0.9905
9,0006,9,0.9915
10,0006,10,0.9923
11,0006,11,0.9927
12,0006,12,0.9929
13,0006,13,0.9933
14,0006,14,0.9933
15,0006,15,0.9934
16,0006,16,0.9942
17,0006,17,0.9950
18,0006,18,0.9951
19,0006,19,0.9955
20,0006,20,0.9956
21,0006,21,0.9960
22,0006,22,0.9961
23,0006,23,0.9963
24,0006,24,0.9964
25,0006,25,0.9964
26,0006,26,0.9966
27,0006,27,0.9966
28,0006,28,0.9968
29,0006,29,0.9969
30,0006,30,0.9970
31,0006,31,0.9971
32,0006,32,0.9973
33,0006,33,0.9975
34,0006,34,0.9977
35,0006,35,0.9978
36,0006,36,0.9979
37,0006,37,0.9980
38,0006,38,0.9981
39,0006,39,0.9981
40,0006,40,0.9982
41,0006,41,0.9982
42,0006,42,0.9983
43,0006,43,0.9983
44,0006,44,0.9984
45,0006,45,0.9984
46,0006,46,0.9985
47,0006,47,0.9985
48,0006,48,0.9986
49,0006,49,0.9987
50,0006,50,0.9987
51,0006,51,0.9987
52,0006,52,0.9988
53,0006,53,0.9988
54,0006,54,0.9989
55,0006,55,0.9989
56,0006,56,0.9990
57,0006,57,0.9990
58,0006,58,0.9991
59,0006,59,0.9991
60,0006,60,0.9991
1,0009,1,0.9528
2,0009,2,0.9545
3,0009,3,0.9784
4,0009,4,0.9830
5,0009,5,0.9824
6,0009,6,0.9808
7,0009,7,0.9793
8,0009,8,0.9822
9,0009,9,0.9818
10,0009,10,0.9842
11,0009,11,0.9839
12,0009,12,0.9836
13,0009,13,0.9833
14,0009,14,0.9844
15,0009,15,0.9842
16,0009,16,0.9840
17,0009,17,0.9849
18,0009,18,0.9855
19,0009,19,0.9862
20,0009,20,0.9861
21,0009,21,0.9866
22,0009,22,0.9879
23,0009,23,0.9888
24,0009,24,0.9894
25,0009,25,0.9898
26,0009,26,0.9907
27,0009,27,0.9912
28,0009,28,0.9919
29,0009,29,0.9924
30,0009,30,0.9927
31,0009,31,0.9931
32,0009,32,0.9933
33,0009,33,0.9937
34,0009,34,0.9939
