Query_ID,Match_Rank,Gallery_ID,Similarity
0657,1,0322,0.9995
0657,2,0699,0.9994
0657,3,0326,0.9992
0657,4,0657,0.9991
0657,5,0569,0.9991
0657,6,0546,0.9991
0657,7,0063,0.9989
0657,8,0634,0.9989
0657,9,0476,0.9988
0657,10,0712,0.9988
0368,1,0368,0.9999
0368,2,0296,0.9999
0368,3,0380,0.9998
0368,4,0306,0.9997
0368,5,0721,0.9996
0368,6,0241,0.9995
0368,7,0009,0.9995
0368,8,0288,0.9995
0368,9,0385,0.9995
0368,10,0369,0.9995
0586,1,0420,0.9997
0586,2,0586,0.9996
0586,3,0365,0.9995
0586,4,0074,0.9995
0586,5,0543,0.9993
0586,6,0510,0.9993
0586,7,0332,0.9993
0586,8,0486,0.9992
0586,9,0373,0.9991
0586,10,0630,0.9990
0299,1,0576,0.9994
0299,2,0065,0.9993
0299,3,0142,0.9993
0299,4,0151,0.9993
0299,5,0630,0.9993
0299,6,0129,0.9992
0299,7,0118,0.9991
0299,8,0610,0.9991
0299,9,0327,0.9991
0299,10,0388,0.9990
0742,1,0296,0.9998
0742,2,0380,0.9998
0742,3,0306,0.9997
0742,4,0630,0.9997
0742,5,0009,0.9997
0742,6,0368,0.9996
0742,7,0721,0.9996
0742,8,0241,0.9996
0742,9,0586,0.9996
0742,10,0588,0.9994
0541,1,0543,0.9996
0541,2,0365,0.9995
0541,3,0545,0.9994
0541,4,0541,0.9993
0541,5,0332,0.9993
0541,6,0086,0.9993
0541,7,0420,0.9993
0541,8,0485,0.9992
0541,9,0586,0.9991
0541,10,0510,0.9991
0298,1,0298,0.9998
0298,2,0150,0.9996
0298,3,0357,0.9996
0298,4,0237,0.9993
0298,5,0450,0.9991
0298,6,0299,0.9988
0298,7,0392,0.9986
0298,8,0398,0.9985
0298,9,0143,0.9984
0298,10,0405,0.9983
0668,1,0612,0.9990
0668,2,0371,0.9987
0668,3,0584,0.9986
0668,4,0668,0.9985
0668,5,0646,0.9985
0668,6,0582,0.9982
0668,7,0416,0.9982
0668,8,0117,0.9982
0668,9,0742,0.9981
0668,10,0598,0.9981
0518,1,0518,0.9992
0518,2,0614,0.9982
0518,3,0642,0.9979
0518,4,0593,0.9977
0518,5,0753,0.9975
0518,6,0106,0.9973
0518,7,0676,0.9972
0518,8,0590,0.9972
0518,9,0652,0.9970
