Query_ID,Match_Rank,Gallery_ID,Similarity
0657,1,0657,0.9945
0657,2,0585,0.9896
0657,3,0480,0.9855
0657,4,0663,0.9852
0657,5,0698,0.9844
0657,6,0522,0.9840
0657,7,0624,0.9831
0657,8,0742,0.9830
0657,9,0461,0.9828
0657,10,0717,0.9827
0368,1,0368,0.9962
0368,2,0300,0.9908
0368,3,0319,0.9899
0368,4,0337,0.9887
0368,5,0318,0.9884
0368,6,0365,0.9875
0368,7,0288,0.9872
0368,8,0361,0.9870
0368,9,0357,0.9866
0368,10,0554,0.9861
0586,1,0586,0.9941
0586,2,0590,0.9848
0586,3,0588,0.9826
0586,4,0009,0.9818
0586,5,0768,0.9809
0586,6,0489,0.9807
0586,7,0480,0.9805
0586,8,0657,0.9802
0586,9,0698,0.9800
0586,10,0585,0.9797
0299,1,0299,0.9938
0299,2,0368,0.9814
0299,3,0319,0.9782
0299,4,0373,0.9774
0299,5,0365,0.9770
0299,6,0288,0.9754
0299,7,0306,0.9751
0299,8,0241,0.9750
0299,9,0482,0.9750
0299,10,0337,0.9738
0742,1,0742,0.9924
0742,2,0753,0.9888
0742,3,0663,0.9854
0742,4,0657,0.9851
0742,5,0717,0.9834
0742,6,0585,0.9831
0742,7,0042,0.9827
0742,8,0609,0.9805
0742,9,0727,0.9800
0742,10,0668,0.9800
0541,1,0541,0.9986
0541,2,0543,0.9951
0541,3,0545,0.9928
0541,4,0546,0.9917
0541,5,0369,0.9897
0541,6,0365,0.9897
0541,7,0482,0.9890
0541,8,0446,0.9880
0541,9,0310,0.9878
0541,10,0486,0.9878
0298,1,0298,0.9949
0298,2,0446,0.9675
0298,3,0373,0.9652
0298,4,0385,0.9650
0298,5,0371,0.9648
0298,6,0322,0.9638
0298,7,0295,0.9637
0298,8,0545,0.9633
0298,9,0482,0.9632
0298,10,0486,0.9632
0668,1,0668,0.9957
0668,2,0657,0.9900
0668,3,0585,0.9892
0668,4,0698,0.9884
0668,5,0663,0.9882
0668,6,0699,0.9875
0668,7,0634,0.9872
0668,8,0461,0.9859
0668,9,0717,0.9856
0668,10,0753,0.9855
0518,1,0518,0.9927
0518,2,0696,0.9855
0518,3,0653,0.9795
0518,4,0623,0.9793
0518,5,0522,0.9785
0518,6,0646,0.9777
0518,7,0606,0.9769
0518,8,0610,0.9759
0518,9,0569,0.9759
0518,10,0417,0.9757
0660,1,0623,0.9919
0660,2,0727,0.9916
0660,3,0742,0.9913
0660,4,0642,0.9899
0660,5,0660,0.9897
0660,6,0042,0.9895
0660,7,0657,0.9895
0660,8,0663,0.9895
0660,9,0659,0.9895
0660,10,0063,0.9891
0174,1,0174,0.9898
0174,2,0135,0.9828
0174,3,0126,0.9819
0174,4,0134,0.9816
0174,5,0142,0.9781
0174,6,0143,0.9779
0174,7,0151,0.9717
0174,8,0172,0.9709
0174,9,0145,0.9695
0174,10,0106,0.9692
0576,1,0576,0.9935
0576,2,0588,0.9920
0576,3,0480,0.9893
0576,4,0657,0.9889
0576,5,0584,0.9886
0576,6,0711,0.9884
0576,7,0598,0.9882
0576,8,0009,0.9880
0576,9,0489,0.9873
0576,10,0630,0.9872
0720,1,0720,0.9937
0720,2,0717,0.9928
0720,3,0657,0.9911
0720,4,0768,0.9909
0720,5,0590,0.9907
0720,6,0624,0.9905
0720,7,0489,0.9903
0720,8,0663,0.9901
0720,9,0742,0.9896
0720,10,0612,0.9893
0522,1,0522,0.9911
0522,2,0554,0.9799
0522,3,0231,0.9792
0522,4,0456,0.9789
0522,5,0546,0.9788
0522,6,0416,0.9786
0522,7,0369,0.9780
0522,8,0332,0.9776
0522,9,0315,0.9767
0522,10,0361,0.9766
0467,1,0467,0.9926
0467,2,0602,0.9869
0467,3,0652,0.9869
0467,4,0654,0.9862
0467,5,0623,0.9860
0467,6,0676,0.9856
0467,7,0477,0.9854
0467,8,0473,0.9853
0467,9,0672,0.9852
0467,10,0630,0.9852
0768,1,0768,0.9943
0768,2,0657,0.9907
0768,3,0249,0.9875
0768,4,0699,0.9873
0768,5,0663,0.9872
0768,6,0717,0.9868
0768,7,0642,0.9863
0768,8,0668,0.9857
0768,9,0489,0.9852
0768,10,0461,0.9839
0588,1,0588,0.9963
0588,2,0698,0.9882
0588,3,0009,0.9877
0588,4,0585,0.9875
0588,5,0584,0.9874
0588,6,0699,0.9874
0588,7,0590,0.9873
0588,8,0576,0.9870
0588,9,0480,0.9866
0588,10,0657,0.9856
0385,1,0385,0.9792
0385,2,0322,0.9783
0385,3,0296,0.9761
0385,4,0446,0.9756
0385,5,0486,0.9746
0385,6,0569,0.9731
0385,7,0421,0.9723
0385,8,0546,0.9710
0385,9,0298,0.9709
0385,10,0074,0.9693
0142,1,0142,0.9934
0142,2,0126,0.9820
0142,3,0143,0.9785
0142,4,0174,0.9771
0142,5,0135,0.9765
0142,6,0150,0.9749
0142,7,0145,0.9744
0142,8,0162,0.9695
