Query_ID,Match_Rank,Gallery_ID,Similarity
0657,1,0657,0.9965
0657,2,0659,0.9927
0657,3,0467,0.9829
0657,4,0687,0.9824
0657,5,0721,0.9800
0657,6,0631,0.9784
0657,7,0642,0.9765
0657,8,0624,0.9759
0657,9,0654,0.9755
0657,10,0720,0.9744
0368,1,0368,0.9986
0368,2,0319,0.9923
0368,3,0310,0.9899
0368,4,0361,0.9892
0368,5,0315,0.9885
0368,6,0326,0.9873
0368,7,0337,0.9868
0368,8,0365,0.9864
0368,9,0380,0.9844
0368,10,0369,0.9841
0586,1,0586,0.9886
0586,2,0590,0.9742
0586,3,0609,0.9735
0586,4,0597,0.9627
0586,5,0576,0.9587
0586,6,0615,0.9569
0586,7,0677,0.9527
0586,8,0585,0.9526
0586,9,0588,0.9524
0586,10,0652,0.9522
0299,1,0299,0.9990
0299,2,0298,0.9512
0299,3,0241,0.9466
0299,4,0086,0.9227
0299,5,0173,0.9086
0299,6,0446,0.9027
0299,7,0166,0.8950
0299,8,0061,0.8799
0299,9,0074,0.8585
0299,10,0117,0.8553
0742,1,0742,0.9991
0742,2,0717,0.9854
0742,3,0685,0.9843
0742,4,0753,0.9819
0742,5,0727,0.9778
0742,6,0677,0.9772
0742,7,0721,0.9715
0742,8,0672,0.9706
0742,9,0480,0.9700
0742,10,0676,0.9693
0541,1,0541,0.9993
0541,2,0546,0.9921
0541,3,0543,0.9910
0541,4,0482,0.9783
0541,5,0545,0.9750
0541,6,0507,0.9744
0541,7,0485,0.9700
0541,8,0566,0.9696
0541,9,0417,0.9675
0541,10,0486,0.9652
0298,1,0298,0.9935
0298,2,0299,0.9695
0298,3,0241,0.9456
0298,4,0166,0.9422
0298,5,0173,0.9261
0298,6,0086,0.8795
0298,7,0117,0.8715
0298,8,0172,0.8681
0298,9,0061,0.8646
0298,10,0385,0.8552
0668,1,0668,0.9983
0668,2,0624,0.9902
0668,3,0615,0.9853
0668,4,0477,0.9836
0668,5,0711,0.9836
0668,6,0663,0.9835
0668,7,0630,0.9829
0668,8,0631,0.9824
0668,9,0676,0.9793
0668,10,0654,0.9779
0518,1,0518,0.9949
0518,2,0510,0.9584
0518,3,0489,0.9473
0518,4,0427,0.9410
0518,5,0494,0.9393
0518,6,0416,0.9093
0518,7,0063,0.9048
0518,8,0569,0.9047
0518,9,0231,0.8799
0518,10,0622,0.8657
0660,1,0660,0.9879
0660,2,0476,0.9865
0660,3,0623,0.9849
0660,4,0480,0.9800
0660,5,0646,0.9792
0660,6,0685,0.9786
0660,7,0770,0.9775
0660,8,0742,0.9737
0660,9,0712,0.9713
0660,10,0622,0.9682
0174,1,0174,0.9991
0174,2,0150,0.9979
0174,3,0129,0.9977
0174,4,0143,0.9972
0174,5,0144,0.9965
0174,6,0142,0.9954
0174,7,0126,0.9948
0174,8,0135,0.9927
0174,9,0151,0.9921
0174,10,0132,0.9909
0576,1,0576,0.9946
0576,2,0609,0.9789
0576,3,0588,0.9785
0576,4,0584,0.9737
0576,5,0614,0.9687
0576,6,0590,0.9681
0576,7,0642,0.9619
0576,8,0663,0.9600
0576,9,0630,0.9592
0576,10,0090,0.9561
0720,1,0720,0.9982
0720,2,0712,0.9951
0720,3,0467,0.9897
0720,4,0631,0.9891
0720,5,0672,0.9884
0720,6,0727,0.9876
0720,7,0677,0.9874
0720,8,0461,0.9873
0720,9,0630,0.9867
0720,10,0685,0.9849
0522,1,0522,0.9869
0522,2,0486,0.9581
0522,3,0420,0.9439
0522,4,0554,0.9437
0522,5,0546,0.9408
0522,6,0543,0.9350
0522,7,0482,0.9336
0522,8,0322,0.9328
0522,9,0541,0.9306
0522,10,0507,0.9301
0467,1,0467,0.9902
0467,2,0677,0.9899
0467,3,0473,0.9895
0467,4,0775,0.9855
0467,5,0721,0.9849
0467,6,0631,0.9822
0467,7,0610,0.9820
0467,8,0685,0.9791
0467,9,0672,0.9787
0467,10,0770,0.9770
0768,1,0768,0.9950
0768,2,0761,0.9884
0768,3,0720,0.9875
0768,4,0630,0.9805
0768,5,0461,0.9796
0768,6,0660,0.9795
0768,7,0712,0.9768
0768,8,0699,0.9754
0768,9,0687,0.9750
0768,10,0477,0.9749
0588,1,0588,0.9985
0588,2,0584,0.9874
0588,3,0576,0.9835
0588,4,0609,0.9825
0588,5,0598,0.9768
0588,6,0590,0.9752
0588,7,0614,0.9714
0588,8,0602,0.9699
0588,9,0585,0.9686
0588,10,0586,0.9632
0385,1,0385,0.9894
0385,2,0061,0.9523
