Query_ID,Match_Rank,Gallery_ID,Similarity
0657,1,0657,0.9995
0657,2,0742,0.9991
0657,3,0467,0.9988
0657,4,0720,0.9985
0657,5,0712,0.9984
0657,6,0727,0.9984
0657,7,0659,0.9983
0657,8,0663,0.9982
0657,9,0721,0.9982
0657,10,0609,0.9981
0368,1,0368,0.9992
0368,2,0373,0.9980
0368,3,0365,0.9972
0368,4,0288,0.9971
0368,5,0318,0.9965
0368,6,0310,0.9965
0368,7,0388,0.9960
0368,8,0296,0.9960
0368,9,0380,0.9958
0368,10,0306,0.9958
0586,1,0586,0.9985
0586,2,0727,0.9983
0586,3,0720,0.9982
0586,4,0657,0.9982
0586,5,0609,0.9982
0586,6,0742,0.9982
0586,7,0721,0.9979
0586,8,0712,0.9979
0586,9,0659,0.9979
0586,10,0672,0.9978
0299,1,0299,0.9991
0299,2,0298,0.9953
0299,3,0327,0.9945
0299,4,0369,0.9911
0299,5,0319,0.9903
0299,6,0385,0.9902
0299,7,0332,0.9884
0299,8,0380,0.9882
0299,9,0086,0.9869
0299,10,0344,0.9856
0742,1,0742,0.9995
0742,2,0727,0.9981
0742,3,0467,0.9980
0742,4,0657,0.9977
0742,5,0721,0.9977
0742,6,0609,0.9977
0742,7,0473,0.9976
0742,8,0631,0.9974
0742,9,0712,0.9974
0742,10,0585,0.9973
0541,1,0541,0.9999
0541,2,0546,0.9993
0541,3,0543,0.9987
0541,4,0545,0.9984
0541,5,0446,0.9976
0541,6,0554,0.9976
0541,7,0486,0.9975
0541,8,0507,0.9972
0541,9,0482,0.9971
0541,10,0365,0.9957
0298,1,0298,0.9995
0298,2,0299,0.9954
0298,3,0327,0.9951
0298,4,0332,0.9888
0298,5,0369,0.9876
0298,6,0086,0.9864
0298,7,0385,0.9859
0298,8,0319,0.9855
0298,9,0344,0.9844
0298,10,0129,0.9836
0668,1,0668,0.9996
0668,2,0676,0.9975
0668,3,0615,0.9971
0668,4,0753,0.9969
0668,5,0609,0.9963
0668,6,0624,0.9962
0668,7,0687,0.9961
0668,8,0581,0.9961
0668,9,0630,0.9960
0668,10,0625,0.9960
0518,1,0518,0.9993
0518,2,0063,0.9975
0518,3,0660,0.9957
0518,4,0696,0.9955
0518,5,0576,0.9953
0518,6,0623,0.9951
0518,7,0476,0.9946
0518,8,0622,0.9946
0518,9,0480,0.9944
0518,10,0090,0.9943
0660,1,0660,0.9989
0660,2,0623,0.9986
0660,3,0696,0.9985
0660,4,0576,0.9979
0660,5,0480,0.9975
0660,6,0642,0.9967
0660,7,0761,0.9965
0660,8,0102,0.9963
0660,9,0646,0.9963
0660,10,0614,0.9961
0174,1,0174,0.9976
0174,2,0142,0.9948
0174,3,0150,0.9931
0174,4,0143,0.9931
0174,5,0126,0.9891
0174,6,0172,0.9855
0174,7,0151,0.9823
0174,8,0132,0.9817
0174,9,0145,0.9813
0174,10,0129,0.9813
0576,1,0576,0.9995
0576,2,0660,0.9981
0576,3,0630,0.9979
0576,4,0588,0.9977
0576,5,0590,0.9976
0576,6,0584,0.9975
0576,7,0699,0.9974
0576,8,0657,0.9973
0576,9,0609,0.9973
0576,10,0768,0.9972
0720,1,0720,0.9994
0720,2,0657,0.9990
0720,3,0659,0.9984
0720,4,0467,0.9984
0720,5,0473,0.9983
0720,6,0742,0.9983
0720,7,0727,0.9980
0720,8,0712,0.9979
0720,9,0663,0.9977
0720,10,0654,0.9976
0522,1,0522,0.9982
0522,2,0566,0.9976
0522,3,0086,0.9970
0522,4,0074,0.9953
0522,5,0446,0.9946
0522,6,0456,0.9943
0522,7,0166,0.9929
0522,8,0515,0.9927
0522,9,0385,0.9926
0522,10,0262,0.9921
0467,1,0677,0.9986
0467,2,0610,0.9985
0467,3,0631,0.9984
0467,4,0685,0.9984
0467,5,0585,0.9984
0467,6,0622,0.9982
0467,7,0467,0.9982
0467,8,0672,0.9980
0467,9,0586,0.9979
0467,10,0630,0.9979
0768,1,0768,0.9997
0768,2,0720,0.9985
0768,3,0657,0.9982
0768,4,0698,0.9980
0768,5,0663,0.9979
0768,6,0659,0.9977
0768,7,0660,0.9977
0768,8,0712,0.9977
0768,9,0727,0.9977
0768,10,0590,0.9976
0588,1,0588,0.9996
0588,2,0590,0.9992
0588,3,0584,0.9987
0588,4,0630,0.9982
0588,5,0477,0.9981
0588,6,0576,0.9978
0588,7,0609,0.9976
0588,8,0768,0.9976
0588,9,0480,0.9974
0588,10,0687,0.9973
0385,1,0385,0.9961
0385,2,0369,0.9959
0385,3,0380,0.9942
0385,4,0322,0.9915
0385,5,0371,0.9913
0385,6,0569,0.9911
0385,7,0373,0.9906
0385,8,0237,0.9903
0385,9,0296,0.9902
0385,10,0061,0.9901
0142,1,0142,0.9989
0142,2,0126,0.9983
0142,3,0143,0.9981
0142,4,0150,0.9981
0142,5,0174,0.9963
0142,6,0132,0.9936
0142,7,0129,0.9910
0142,8,0172,0.9898
0142,9,0151,0.9885
0142,10,0173,0.9880
0180,1,0180,0.9987
0180,2,0196,0.9987
0180,3,0182,0.9970
0180,4,0192,0.9969
0180,5,0183,0.9933
0180,6,0197,0.9929
0180,7,0205,0.9919
0180,8,0207,0.9916
0180,9,0216,0.9906
0180,10,0014,0.9899
0610,1,0610,0.9998
0610,2,0631,0.9983
0610,3,0597,0.9982
0610,4,0586,0.9982
0610,5,0585,0.9978
0610,6,0622,0.9978
0610,7,0685,0.9978
0610,8,0602,0.9974
0610,9,0582,0.9973
0610,10,0598,0.9973
0369,1,0369,0.9991
0369,2,0380,0.9957
